# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-22 05:20:03 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01310521 HUDSON BAY AT FREEPORT NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 01310521
#            TS   parameter     Description
#        106564       62619     Estuary or ocean water surface elevation above NGVD 1929, feet
#        238970       62620     Estuary or ocean water surface elevation above NAVD 1988, feet, NAVD88
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	106564_62619	106564_62619_cd	238970_62620	238970_62620_cd
USGS	01310521	2022-11-22 01:36	EST	-1.07	A	-2.21	P
USGS	01310521	2022-11-22 01:42	EST	-0.96	A	-2.10	P
USGS	01310521	2022-11-22 01:48	EST	-0.86	A	-2.00	P
USGS	01310521	2022-11-22 01:54	EST	-0.78	A	-1.92	P
USGS	01310521	2022-11-22 02:00	EST	-0.71	A	-1.85	P
USGS	01310521	2022-11-22 02:06	EST	-0.63	A	-1.77	P
USGS	01310521	2022-11-22 02:12	EST	-0.54	A	-1.68	P
USGS	01310521	2022-11-22 02:18	EST	-0.47	A	-1.61	P
USGS	01310521	2022-11-22 02:24	EST	-0.38	A	-1.52	P
USGS	01310521	2022-11-22 02:30	EST	-0.26	A	-1.40	P
USGS	01310521	2022-11-22 02:36	EST	-0.19	A	-1.33	P
USGS	01310521	2022-11-22 02:42	EST	-0.08	A	-1.22	P
USGS	01310521	2022-11-22 02:48	EST	0.00	A	-1.14	P
USGS	01310521	2022-11-22 02:54	EST	0.09	A	-1.05	P
USGS	01310521	2022-11-22 03:00	EST	0.20	A	-0.94	P
USGS	01310521	2022-11-22 03:06	EST	0.28	A	-0.86	P
USGS	01310521	2022-11-22 03:12	EST	0.37	A	-0.77	P
USGS	01310521	2022-11-22 03:18	EST	0.49	A	-0.65	P
USGS	01310521	2022-11-22 03:24	EST	0.58	A	-0.56	P
USGS	01310521	2022-11-22 03:30	EST	0.68	A	-0.46	P
USGS	01310521	2022-11-22 03:36	EST	0.78	A	-0.36	P
USGS	01310521	2022-11-22 03:42	EST	0.86	A	-0.28	P
USGS	01310521	2022-11-22 03:48	EST	0.95	A	-0.19	P
USGS	01310521	2022-11-22 03:54	EST	1.03	A	-0.11	P
USGS	01310521	2022-11-22 04:00	EST	1.12	A	-0.02	P
USGS	01310521	2022-11-22 04:06	EST	1.22	A	0.08	P
USGS	01310521	2022-11-22 04:12	EST	1.29	A	0.15	P
USGS	01310521	2022-11-22 04:18	EST	1.39	A	0.25	P
USGS	01310521	2022-11-22 04:24	EST	1.46	A	0.32	P
USGS	01310521	2022-11-22 04:30	EST	1.54	A	0.40	P
USGS	01310521	2022-11-22 04:36	EST	1.63	A	0.49	P
USGS	01310521	2022-11-22 04:42	EST	1.70	A	0.56	P
USGS	01310521	2022-11-22 04:48	EST	1.77	A	0.63	P
USGS	01310521	2022-11-22 04:54	EST	1.85	A	0.71	P
USGS	01310521	2022-11-22 05:00	EST	1.93	A	0.79	P
USGS	01310521	2022-11-22 05:06	EST	2.01	A	0.87	P
USGS	01310521	2022-11-22 05:12	EST	2.06	A	0.92	P
USGS	01310521	2022-11-22 05:18	EST	2.15	A	1.01	P
USGS	01310521	2022-11-22 05:24	EST	2.21	A	1.07	P
USGS	01310521	2022-11-22 05:30	EST	2.27	A	1.13	P
USGS	01310521	2022-11-22 05:36	EST	2.30	A	1.16	P
USGS	01310521	2022-11-22 05:42	EST	2.35	A	1.21	P
USGS	01310521	2022-11-22 05:48	EST	2.39	A	1.25	P
USGS	01310521	2022-11-22 05:54	EST	2.44	A	1.30	P
USGS	01310521	2022-11-22 06:00	EST	2.49	A	1.35	P
USGS	01310521	2022-11-22 06:06	EST	2.53	A	1.39	P
USGS	01310521	2022-11-22 06:12	EST	2.56	A	1.42	P
USGS	01310521	2022-11-22 06:18	EST	2.56	A	1.42	P
USGS	01310521	2022-11-22 06:24	EST	2.58	A	1.44	P
USGS	01310521	2022-11-22 06:30	EST	2.58	A	1.44	P
USGS	01310521	2022-11-22 06:36	EST	2.59	A	1.45	P
USGS	01310521	2022-11-22 06:42	EST	2.55	A	1.41	P
USGS	01310521	2022-11-22 06:48	EST	2.54	A	1.40	P
USGS	01310521	2022-11-22 06:54	EST	2.50	A	1.36	P
USGS	01310521	2022-11-22 07:00	EST	2.47	A	1.33	P
USGS	01310521	2022-11-22 07:06	EST	2.40	A	1.26	P
USGS	01310521	2022-11-22 07:12	EST	2.32	A	1.18	P
USGS	01310521	2022-11-22 07:18	EST	2.26	A	1.12	P
USGS	01310521	2022-11-22 07:24	EST	2.18	A	1.04	P
USGS	01310521	2022-11-22 07:30	EST	2.11	A	0.97	P
USGS	01310521	2022-11-22 07:36	EST	2.02	A	0.88	P
USGS	01310521	2022-11-22 07:42	EST	1.97	A	0.83	P
USGS	01310521	2022-11-22 07:48	EST	1.92	A	0.78	P
USGS	01310521	2022-11-22 07:54	EST	1.84	A	0.70	P
USGS	01310521	2022-11-22 08:00	EST	1.79	A	0.65	P
USGS	01310521	2022-11-22 08:06	EST	1.70	A	0.56	P
USGS	01310521	2022-11-22 08:12	EST	1.63	A	0.49	P
USGS	01310521	2022-11-22 08:18	EST	1.53	A	0.39	P
USGS	01310521	2022-11-22 08:24	EST	1.44	A	0.30	P
USGS	01310521	2022-11-22 08:30	EST	1.35	A	0.21	P
USGS	01310521	2022-11-22 08:36	EST	1.27	A	0.13	P
USGS	01310521	2022-11-22 08:42	EST	1.20	A	0.06	P
USGS	01310521	2022-11-22 08:48	EST	1.11	A	-0.03	P
USGS	01310521	2022-11-22 08:54	EST	1.01	A	-0.13	P
USGS	01310521	2022-11-22 09:00	EST	0.93	A	-0.21	P
USGS	01310521	2022-11-22 09:06	EST	0.83	A	-0.31	P
USGS	01310521	2022-11-22 09:12	EST	0.73	A	-0.41	P
USGS	01310521	2022-11-22 09:18	EST	0.62	A	-0.52	P
USGS	01310521	2022-11-22 09:24	EST	0.53	A	-0.61	P
USGS	01310521	2022-11-22 09:30	EST	0.43	A	-0.71	P
USGS	01310521	2022-11-22 09:36	EST	0.35	A	-0.79	P
USGS	01310521	2022-11-22 09:42	EST	0.24	A	-0.90	P
USGS	01310521	2022-11-22 09:48	EST	0.15	A	-0.99	P
USGS	01310521	2022-11-22 09:54	EST	0.05	A	-1.09	P
USGS	01310521	2022-11-22 10:00	EST	-0.04	A	-1.18	P
USGS	01310521	2022-11-22 10:06	EST	-0.13	A	-1.27	P
USGS	01310521	2022-11-22 10:12	EST	-0.22	A	-1.36	P
USGS	01310521	2022-11-22 10:18	EST	-0.31	A	-1.45	P
USGS	01310521	2022-11-22 10:24	EST	-0.39	A	-1.53	P
USGS	01310521	2022-11-22 10:30	EST	-0.47	A	-1.61	P
USGS	01310521	2022-11-22 10:36	EST	-0.54	A	-1.68	P
USGS	01310521	2022-11-22 10:42	EST	-0.63	A	-1.77	P
USGS	01310521	2022-11-22 10:48	EST	-0.71	A	-1.85	P
USGS	01310521	2022-11-22 10:54	EST	-0.79	A	-1.93	P
USGS	01310521	2022-11-22 11:00	EST	-0.87	A	-2.01	P
USGS	01310521	2022-11-22 11:06	EST	-0.94	A	-2.08	P
USGS	01310521	2022-11-22 11:12	EST	-1.03	A	-2.17	P
USGS	01310521	2022-11-22 11:18	EST	-1.11	A	-2.25	P
USGS	01310521	2022-11-22 11:24	EST	-1.17	A	-2.31	P
USGS	01310521	2022-11-22 11:30	EST	-1.26	A	-2.40	P
USGS	01310521	2022-11-22 11:36	EST	-1.34	A	-2.48	P
USGS	01310521	2022-11-22 11:42	EST	-1.40	A	-2.54	P
USGS	01310521	2022-11-22 11:48	EST	-1.49	A	-2.63	P
USGS	01310521	2022-11-22 11:54	EST	-1.55	A	-2.69	P
USGS	01310521	2022-11-22 12:00	EST	-1.60	A	-2.74	P
USGS	01310521	2022-11-22 12:06	EST	-1.66	A	-2.80	P
USGS	01310521	2022-11-22 12:12	EST	-1.71	A	-2.85	P
USGS	01310521	2022-11-22 12:18	EST	-1.74	A	-2.88	P
USGS	01310521	2022-11-22 12:24	EST	-1.76	A	-2.90	P
USGS	01310521	2022-11-22 12:30	EST	-1.78	A	-2.92	P
USGS	01310521	2022-11-22 12:36	EST	-1.80	A	-2.94	P
USGS	01310521	2022-11-22 12:42	EST	-1.83	A	-2.97	P
USGS	01310521	2022-11-22 12:48	EST	-1.84	A	-2.98	P
USGS	01310521	2022-11-22 12:54	EST	-1.83	A	-2.97	P
USGS	01310521	2022-11-22 13:00	EST	-1.80	A	-2.94	P
USGS	01310521	2022-11-22 13:06	EST	-1.75	A	-2.89	P
USGS	01310521	2022-11-22 13:12	EST	-1.74	A	-2.88	P
USGS	01310521	2022-11-22 13:18	EST	-1.67	A	-2.81	P
USGS	01310521	2022-11-22 13:24	EST	-1.59	A	-2.73	P
USGS	01310521	2022-11-22 13:30	EST	-1.56	A	-2.70	P
USGS	01310521	2022-11-22 13:36	EST	-1.44	A	-2.58	P
USGS	01310521	2022-11-22 13:42	EST	-1.33	A	-2.47	P
USGS	01310521	2022-11-22 13:48	EST	-1.28	A	-2.42	P
USGS	01310521	2022-11-22 13:54	EST	-1.14	A	-2.28	P
USGS	01310521	2022-11-22 14:00	EST	-1.03	A	-2.17	P
USGS	01310521	2022-11-22 14:06	EST	-0.96	A	-2.10	P
USGS	01310521	2022-11-22 14:12	EST	-0.86	A	-2.00	P
USGS	01310521	2022-11-22 14:18	EST	-0.74	A	-1.88	P
USGS	01310521	2022-11-22 14:24	EST	-0.63	A	-1.77	P
USGS	01310521	2022-11-22 14:30	EST	-0.55	A	-1.69	P
USGS	01310521	2022-11-22 14:36	EST	-0.48	A	-1.62	P
USGS	01310521	2022-11-22 14:42	EST	-0.35	A	-1.49	P
USGS	01310521	2022-11-22 14:48	EST	-0.24	A	-1.38	P
USGS	01310521	2022-11-22 14:54	EST	-0.15	A	-1.29	P
USGS	01310521	2022-11-22 15:00	EST	-0.03	A	-1.17	P
USGS	01310521	2022-11-22 15:06	EST	0.08	A	-1.06	P
USGS	01310521	2022-11-22 15:12	EST	0.18	A	-0.96	P
USGS	01310521	2022-11-22 15:18	EST	0.33	A	-0.81	P
USGS	01310521	2022-11-22 15:24	EST	0.46	A	-0.68	P
USGS	01310521	2022-11-22 15:30	EST	0.56	A	-0.58	P
USGS	01310521	2022-11-22 15:36	EST	0.67	A	-0.47	P
USGS	01310521	2022-11-22 15:42	EST	0.77	A	-0.37	P
USGS	01310521	2022-11-22 15:48	EST	0.90	A	-0.24	P
USGS	01310521	2022-11-22 15:54	EST	0.98	A	-0.16	P
USGS	01310521	2022-11-22 16:00	EST	1.08	A	-0.06	P
USGS	01310521	2022-11-22 16:06	EST	1.20	A	0.06	P
USGS	01310521	2022-11-22 16:12	EST	1.29	A	0.15	P
USGS	01310521	2022-11-22 16:18	EST	1.39	A	0.25	P
USGS	01310521	2022-11-22 16:24	EST	1.50	A	0.36	P
USGS	01310521	2022-11-22 16:30	EST	1.57	A	0.43	P
USGS	01310521	2022-11-22 16:36	EST	1.69	A	0.55	P
USGS	01310521	2022-11-22 16:42	EST	1.78	A	0.64	P
USGS	01310521	2022-11-22 16:48	EST	1.88	A	0.74	P
USGS	01310521	2022-11-22 16:54	EST	1.96	A	0.82	P
USGS	01310521	2022-11-22 17:00	EST	2.04	A	0.90	P
USGS	01310521	2022-11-22 17:06	EST	2.12	A	0.98	P
USGS	01310521	2022-11-22 17:12	EST	2.22	A	1.08	P
USGS	01310521	2022-11-22 17:18	EST	2.28	A	1.14	P
USGS	01310521	2022-11-22 17:24	EST	2.36	A	1.22	P
USGS	01310521	2022-11-22 17:30	EST	2.44	A	1.30	P
USGS	01310521	2022-11-22 17:36	EST	2.50	A	1.36	P
USGS	01310521	2022-11-22 17:42	EST	2.54	A	1.40	P
USGS	01310521	2022-11-22 17:48	EST	2.59	A	1.45	P
USGS	01310521	2022-11-22 17:54	EST	2.63	A	1.49	P
USGS	01310521	2022-11-22 18:00	EST	2.66	A	1.52	P
USGS	01310521	2022-11-22 18:06	EST	2.69	A	1.55	P
USGS	01310521	2022-11-22 18:12	EST	2.71	A	1.57	P
USGS	01310521	2022-11-22 18:18	EST	2.73	A	1.59	P
USGS	01310521	2022-11-22 18:24	EST	2.73	A	1.59	P
USGS	01310521	2022-11-22 18:30	EST	2.73	A	1.59	P
USGS	01310521	2022-11-22 18:36	EST	2.74	A	1.60	P
USGS	01310521	2022-11-22 18:42	EST	2.72	A	1.58	P
USGS	01310521	2022-11-22 18:48	EST	2.72	A	1.58	P
USGS	01310521	2022-11-22 18:54	EST	2.69	A	1.55	P
USGS	01310521	2022-11-22 19:00	EST	2.67	A	1.53	P
USGS	01310521	2022-11-22 19:06	EST	2.63	A	1.49	P
USGS	01310521	2022-11-22 19:12	EST	2.57	A	1.43	P
USGS	01310521	2022-11-22 19:18	EST	2.52	A	1.38	P
USGS	01310521	2022-11-22 19:24	EST	2.46	A	1.32	P
USGS	01310521	2022-11-22 19:30	EST	2.38	A	1.24	P
USGS	01310521	2022-11-22 19:36	EST	2.29	A	1.15	P
USGS	01310521	2022-11-22 19:42	EST	2.21	A	1.07	P
USGS	01310521	2022-11-22 19:48	EST	2.13	A	0.99	P
USGS	01310521	2022-11-22 19:54	EST	2.05	A	0.91	P
USGS	01310521	2022-11-22 20:00	EST	1.95	A	0.81	P
USGS	01310521	2022-11-22 20:06	EST	1.86	A	0.72	P
USGS	01310521	2022-11-22 20:12	EST	1.77	A	0.63	P
USGS	01310521	2022-11-22 20:18	EST	1.68	A	0.54	P
USGS	01310521	2022-11-22 20:24	EST	1.60	A	0.46	P
USGS	01310521	2022-11-22 20:30	EST	1.49	A	0.35	P
USGS	01310521	2022-11-22 20:36	EST	1.41	A	0.27	P
USGS	01310521	2022-11-22 20:42	EST	1.31	A	0.17	P
USGS	01310521	2022-11-22 20:48	EST	1.22	A	0.08	P
USGS	01310521	2022-11-22 20:54	EST	1.12	A	-0.02	P
USGS	01310521	2022-11-22 21:00	EST	1.03	A	-0.11	P
USGS	01310521	2022-11-22 21:06	EST	0.94	A	-0.20	P
USGS	01310521	2022-11-22 21:12	EST	0.86	A	-0.28	P
USGS	01310521	2022-11-22 21:18	EST	0.78	A	-0.36	P
USGS	01310521	2022-11-22 21:24	EST	0.70	A	-0.44	P
USGS	01310521	2022-11-22 21:30	EST	0.62	A	-0.52	P
USGS	01310521	2022-11-22 21:36	EST	0.55	A	-0.59	P
USGS	01310521	2022-11-22 21:42	EST	0.46	A	-0.68	P
USGS	01310521	2022-11-22 21:48	EST	0.38	A	-0.76	P
USGS	01310521	2022-11-22 21:54	EST	0.30	A	-0.84	P
USGS	01310521	2022-11-22 22:00	EST	0.22	A	-0.92	P
USGS	01310521	2022-11-22 22:06	EST	0.14	A	-1.00	P
USGS	01310521	2022-11-22 22:12	EST	0.05	A	-1.09	P
USGS	01310521	2022-11-22 22:18	EST	-0.01	A	-1.15	P
USGS	01310521	2022-11-22 22:24	EST	-0.09	A	-1.23	P
USGS	01310521	2022-11-22 22:30	EST	-0.18	A	-1.32	P
USGS	01310521	2022-11-22 22:36	EST	-0.26	A	-1.40	P
USGS	01310521	2022-11-22 22:42	EST	-0.33	A	-1.47	P
USGS	01310521	2022-11-22 22:48	EST	-0.39	A	-1.53	P
USGS	01310521	2022-11-22 22:54	EST	-0.48	A	-1.62	P
USGS	01310521	2022-11-22 23:00	EST	-0.55	A	-1.69	P
USGS	01310521	2022-11-22 23:06	EST	-0.63	A	-1.77	P
USGS	01310521	2022-11-22 23:12	EST	-0.69	A	-1.83	P
USGS	01310521	2022-11-22 23:18	EST	-0.77	A	-1.91	P
USGS	01310521	2022-11-22 23:24	EST	-0.84	A	-1.98	P
USGS	01310521	2022-11-22 23:30	EST	-0.90	A	-2.04	P
USGS	01310521	2022-11-22 23:36	EST	-0.97	A	-2.11	P
USGS	01310521	2022-11-22 23:42	EST	-1.02	A	-2.16	P
USGS	01310521	2022-11-22 23:48	EST	-1.06	A	-2.20	P
USGS	01310521	2022-11-22 23:54	EST	-1.12	A	-2.26	P
USGS	01310521	2022-11-23 00:00	EST	-1.19	A	-2.33	P
USGS	01310521	2022-11-23 00:06	EST	-1.22	A	-2.36	P
USGS	01310521	2022-11-23 00:12	EST	-1.25	A	-2.39	P
USGS	01310521	2022-11-23 00:18	EST	-1.27	A	-2.41	P
USGS	01310521	2022-11-23 00:24	EST	-1.28	A	-2.42	P
USGS	01310521	2022-11-23 00:30	EST	-1.29	A	-2.43	P
USGS	01310521	2022-11-23 00:36	EST	-1.32	A	-2.46	P
USGS	01310521	2022-11-23 00:42	EST	-1.30	A	-2.44	P
USGS	01310521	2022-11-23 00:48	EST	-1.28	A	-2.42	P
USGS	01310521	2022-11-23 00:54	EST	-1.27	A	-2.41	P
USGS	01310521	2022-11-23 01:00	EST	-1.23	A	-2.37	P
USGS	01310521	2022-11-23 01:06	EST	-1.22	A	-2.36	P
USGS	01310521	2022-11-23 01:12	EST	-1.17	A	-2.31	P
USGS	01310521	2022-11-23 01:18	EST	-1.11	A	-2.25	P
USGS	01310521	2022-11-23 01:24	EST	-1.07	A	-2.21	P
USGS	01310521	2022-11-23 01:30	EST	-1.01	A	-2.15	P
USGS	01310521	2022-11-23 01:36	EST	-0.92	A	-2.06	P
USGS	01310521	2022-11-23 01:42	EST	-0.84	A	-1.98	P
USGS	01310521	2022-11-23 01:48	EST	-0.73	A	-1.87	P
USGS	01310521	2022-11-23 01:54	EST	-0.65	A	-1.79	P
USGS	01310521	2022-11-23 02:00	EST	-0.56	A	-1.70	P
USGS	01310521	2022-11-23 02:06	EST	-0.44	A	-1.58	P
USGS	01310521	2022-11-23 02:12	EST	-0.36	A	-1.50	P
USGS	01310521	2022-11-23 02:18	EST	-0.24	A	-1.38	P
USGS	01310521	2022-11-23 02:24	EST	-0.15	A	-1.29	P
USGS	01310521	2022-11-23 02:30	EST	-0.07	A	-1.21	P
USGS	01310521	2022-11-23 02:36	EST	0.03	A	-1.11	P
USGS	01310521	2022-11-23 02:42	EST	0.15	A	-0.99	P
USGS	01310521	2022-11-23 02:48	EST	0.26	A	-0.88	P
USGS	01310521	2022-11-23 02:54	EST	0.37	A	-0.77	P
USGS	01310521	2022-11-23 03:00	EST	0.47	A	-0.67	P
USGS	01310521	2022-11-23 03:06	EST	0.60	A	-0.54	P
USGS	01310521	2022-11-23 03:12	EST	0.71	A	-0.43	P
USGS	01310521	2022-11-23 03:18	EST	0.82	A	-0.32	P
USGS	01310521	2022-11-23 03:24	EST	0.90	A	-0.24	P
USGS	01310521	2022-11-23 03:30	EST	1.03	A	-0.11	P
USGS	01310521	2022-11-23 03:36	EST	1.14	A	-0.00	P
USGS	01310521	2022-11-23 03:42	EST	1.25	A	0.11	P
USGS	01310521	2022-11-23 03:48	EST	1.36	A	0.22	P
USGS	01310521	2022-11-23 03:54	EST	1.47	A	0.33	P
USGS	01310521	2022-11-23 04:00	EST	1.56	A	0.42	P
USGS	01310521	2022-11-23 04:06	EST	1.69	A	0.55	P
USGS	01310521	2022-11-23 04:12	EST	1.81	A	0.67	P
USGS	01310521	2022-11-23 04:18	EST	1.90	A	0.76	P
USGS	01310521	2022-11-23 04:24	EST	2.00	A	0.86	P
USGS	01310521	2022-11-23 04:30	EST	2.13	A	0.99	P
USGS	01310521	2022-11-23 04:36	EST	2.22	A	1.08	P
USGS	01310521	2022-11-23 04:42	EST	2.32	A	1.18	P
USGS	01310521	2022-11-23 04:48	EST	2.43	A	1.29	P
USGS	01310521	2022-11-23 04:54	EST	2.51	A	1.37	P
USGS	01310521	2022-11-23 05:00	EST	2.64	A	1.50	P
USGS	01310521	2022-11-23 05:06	EST	2.74	A	1.60	P
USGS	01310521	2022-11-23 05:12	EST	2.83	A	1.69	P
USGS	01310521	2022-11-23 05:18	EST	2.91	A	1.77	P
USGS	01310521	2022-11-23 05:24	EST	3.01	A	1.87	P
USGS	01310521	2022-11-23 05:30	EST	3.07	A	1.93	P
USGS	01310521	2022-11-23 05:36	EST	3.14	A	2.00	P
USGS	01310521	2022-11-23 05:42	EST	3.21	A	2.07	P
USGS	01310521	2022-11-23 05:48	EST	3.27	A	2.13	P
USGS	01310521	2022-11-23 05:54	EST	3.34	A	2.20	P
USGS	01310521	2022-11-23 06:00	EST	3.41	A	2.27	P
USGS	01310521	2022-11-23 06:06	EST	3.47	A	2.33	P
USGS	01310521	2022-11-23 06:12	EST	3.53	A	2.39	P
USGS	01310521	2022-11-23 06:18	EST	3.58	A	2.44	P
USGS	01310521	2022-11-23 06:24	EST	3.64	A	2.50	P
USGS	01310521	2022-11-23 06:30	EST	3.68	A	2.54	P
USGS	01310521	2022-11-23 06:36	EST	3.71	A	2.57	P
USGS	01310521	2022-11-23 06:42	EST	3.75	A	2.61	P
USGS	01310521	2022-11-23 06:48	EST	3.78	A	2.64	P
USGS	01310521	2022-11-23 06:54	EST	3.80	A	2.66	P
USGS	01310521	2022-11-23 07:00	EST	3.82	A	2.68	P
USGS	01310521	2022-11-23 07:06	EST	3.85	A	2.71	P
USGS	01310521	2022-11-23 07:12	EST	3.85	A	2.71	P
USGS	01310521	2022-11-23 07:18	EST	3.85	A	2.71	P
USGS	01310521	2022-11-23 07:24	EST	3.85	A	2.71	P
USGS	01310521	2022-11-23 07:30	EST	3.84	A	2.70	P
USGS	01310521	2022-11-23 07:36	EST	3.81	A	2.67	P
USGS	01310521	2022-11-23 07:42	EST	3.78	A	2.64	P
USGS	01310521	2022-11-23 07:48	EST	3.74	A	2.60	P
USGS	01310521	2022-11-23 07:54	EST	3.67	A	2.53	P
USGS	01310521	2022-11-23 08:00	EST	3.59	A	2.45	P
USGS	01310521	2022-11-23 08:06	EST	3.51	A	2.37	P
USGS	01310521	2022-11-23 08:12	EST	3.42	A	2.28	P
USGS	01310521	2022-11-23 08:18	EST	3.30	A	2.16	P
USGS	01310521	2022-11-23 08:24	EST	3.20	A	2.06	P
USGS	01310521	2022-11-23 08:30	EST	3.10	A	1.96	P
USGS	01310521	2022-11-23 08:36	EST	3.00	A	1.86	P
USGS	01310521	2022-11-23 08:42	EST	2.91	A	1.77	P
USGS	01310521	2022-11-23 08:48	EST	2.81	A	1.67	P
USGS	01310521	2022-11-23 08:54	EST	2.71	A	1.57	P
USGS	01310521	2022-11-23 09:00	EST	2.60	A	1.46	P
USGS	01310521	2022-11-23 09:06	EST	2.50	A	1.36	P
USGS	01310521	2022-11-23 09:12	EST	2.38	A	1.24	P
USGS	01310521	2022-11-23 09:18	EST	2.26	A	1.12	P
USGS	01310521	2022-11-23 09:24	EST	2.14	A	1.00	P
USGS	01310521	2022-11-23 09:30	EST	2.02	A	0.88	P
USGS	01310521	2022-11-23 09:36	EST	1.92	A	0.78	P
USGS	01310521	2022-11-23 09:42	EST	1.81	A	0.67	P
USGS	01310521	2022-11-23 09:48	EST	1.71	A	0.57	P
USGS	01310521	2022-11-23 09:54	EST	1.61	A	0.47	P
USGS	01310521	2022-11-23 10:00	EST	1.51	A	0.37	P
USGS	01310521	2022-11-23 10:06	EST	1.39	A	0.25	P
USGS	01310521	2022-11-23 10:12	EST	1.28	A	0.14	P
USGS	01310521	2022-11-23 10:18	EST	1.18	A	0.04	P
USGS	01310521	2022-11-23 10:24	EST	1.08	A	-0.06	P
USGS	01310521	2022-11-23 10:30	EST	0.96	A	-0.18	P
USGS	01310521	2022-11-23 10:36	EST	0.84	A	-0.30	P
USGS	01310521	2022-11-23 10:42	EST	0.74	A	-0.40	P
USGS	01310521	2022-11-23 10:48	EST	0.62	A	-0.52	P
USGS	01310521	2022-11-23 10:54	EST	0.51	A	-0.63	P
USGS	01310521	2022-11-23 11:00	EST	0.42	A	-0.72	P
USGS	01310521	2022-11-23 11:06	EST	0.32	A	-0.82	P
USGS	01310521	2022-11-23 11:12	EST	0.22	A	-0.92	P
USGS	01310521	2022-11-23 11:18	EST	0.12	A	-1.02	P
USGS	01310521	2022-11-23 11:24	EST	0.02	A	-1.12	P
USGS	01310521	2022-11-23 11:30	EST	-0.06	A	-1.20	P
USGS	01310521	2022-11-23 11:36	EST	-0.16	A	-1.30	P
USGS	01310521	2022-11-23 11:42	EST	-0.25	A	-1.39	P
USGS	01310521	2022-11-23 11:48	EST	-0.34	A	-1.48	P
USGS	01310521	2022-11-23 11:54	EST	-0.41	A	-1.55	P
USGS	01310521	2022-11-23 12:00	EST	-0.51	A	-1.65	P
USGS	01310521	2022-11-23 12:06	EST	-0.60	A	-1.74	P
USGS	01310521	2022-11-23 12:12	EST	-0.66	A	-1.80	P
USGS	01310521	2022-11-23 12:18	EST	-0.73	A	-1.87	P
USGS	01310521	2022-11-23 12:24	EST	-0.81	A	-1.95	P
USGS	01310521	2022-11-23 12:30	EST	-0.88	A	-2.02	P
USGS	01310521	2022-11-23 12:36	EST	-0.95	A	-2.09	P
